,hourofyear,job_name,hour
947,1176.0,906,576.0
948,1177.0,883,577.0
949,1178.0,502,578.0
950,1179.0,463,579.0
951,1180.0,529,580.0
952,1181.0,428,581.0
953,1182.0,508,582.0
954,1183.0,553,583.0
955,1184.0,616,584.0
956,1185.0,698,585.0
957,1186.0,1230,586.0
958,1187.0,1281,587.0
959,1188.0,581,588.0
960,1189.0,1006,589.0
961,1190.0,1262,590.0
962,1191.0,1047,591.0
963,1192.0,1057,592.0
964,1193.0,1922,593.0
965,1194.0,1135,594.0
966,1195.0,813,595.0
967,1196.0,762,596.0
968,1197.0,712,597.0
969,1198.0,529,598.0
970,1199.0,1488,599.0
971,1200.0,1793,600.0
972,1201.0,526,601.0
973,1202.0,788,602.0
974,1203.0,419,603.0
975,1204.0,484,604.0
976,1205.0,471,605.0
977,1206.0,819,606.0
978,1207.0,802,607.0
979,1208.0,564,608.0
980,1209.0,761,609.0
981,1210.0,1369,610.0
982,1211.0,1150,611.0
983,1212.0,646,612.0
984,1213.0,921,613.0
985,1214.0,1077,614.0
986,1215.0,1140,615.0
987,1216.0,938,616.0
988,1217.0,1025,617.0
989,1218.0,524,618.0
990,1219.0,732,619.0
991,1220.0,943,620.0
992,1221.0,890,621.0
993,1222.0,480,622.0
994,1223.0,399,623.0
995,1224.0,618,624.0
996,1225.0,496,625.0
997,1226.0,548,626.0
998,1227.0,415,627.0
999,1228.0,600,628.0
1000,1229.0,537,629.0
1001,1230.0,768,630.0
1002,1231.0,594,631.0
1003,1232.0,503,632.0
1004,1233.0,992,633.0
1005,1234.0,1413,634.0
1006,1235.0,982,635.0
1007,1236.0,711,636.0
1008,1237.0,699,637.0
1009,1238.0,763,638.0
1010,1239.0,715,639.0
1011,1240.0,1365,640.0
1012,1241.0,908,641.0
1013,1242.0,1000,642.0
1014,1243.0,858,643.0
1015,1244.0,689,644.0
1016,1245.0,623,645.0
1017,1246.0,381,646.0
1018,1247.0,419,647.0
1019,1248.0,1322,648.0
1020,1249.0,1420,649.0
1021,1250.0,1385,650.0
1022,1251.0,474,651.0
1023,1252.0,642,652.0
1024,1253.0,399,653.0
1025,1254.0,1043,654.0
1026,1255.0,800,655.0
1027,1256.0,439,656.0
1028,1257.0,434,657.0
1029,1258.0,455,658.0
1030,1259.0,756,659.0
1031,1260.0,1017,660.0
1032,1261.0,425,661.0
1033,1262.0,467,662.0
1034,1263.0,686,663.0
1035,1264.0,590,664.0
1036,1265.0,409,665.0
1037,1266.0,458,666.0
1038,1267.0,506,667.0
1039,1268.0,539,668.0
1040,1269.0,345,669.0
1041,1270.0,355,670.0
1042,1271.0,360,671.0
1043,1272.0,1166,672.0
1044,1273.0,494,673.0
1045,1274.0,691,674.0
1046,1275.0,485,675.0
1047,1276.0,530,676.0
1048,1277.0,625,677.0
1049,1278.0,866,678.0
1050,1279.0,520,679.0
1051,1280.0,901,680.0
1052,1281.0,742,681.0
1053,1282.0,562,682.0
1054,1283.0,561,683.0
1055,1284.0,392,684.0
1056,1285.0,1727,685.0
1057,1286.0,1548,686.0
1058,1287.0,574,687.0
1059,1288.0,578,688.0
1060,1289.0,536,689.0
1061,1290.0,715,690.0
1062,1291.0,884,691.0
1063,1292.0,597,692.0
1064,1293.0,916,693.0
1065,1294.0,519,694.0
1066,1295.0,381,695.0
1067,1296.0,1170,696.0
1068,1297.0,419,697.0
1069,1298.0,681,698.0
1070,1299.0,382,699.0
1071,1300.0,452,700.0
1072,1301.0,732,701.0
1073,1302.0,555,702.0
1074,1303.0,487,703.0
1075,1304.0,541,704.0
1076,1305.0,706,705.0
1077,1306.0,982,706.0
1078,1307.0,1597,707.0
1079,1308.0,806,708.0
1080,1309.0,697,709.0
1081,1310.0,1312,710.0
1082,1311.0,1183,711.0
1083,1312.0,1298,712.0
1084,1313.0,1139,713.0
1085,1314.0,743,714.0
1086,1315.0,1131,715.0
1087,1316.0,982,716.0
1088,1317.0,744,717.0
1089,1318.0,646,718.0
1090,1319.0,610,719.0
1091,1320.0,1085,720.0
1092,1321.0,671,721.0
1093,1322.0,700,722.0
1094,1323.0,430,723.0
1095,1324.0,506,724.0
1096,1325.0,433,725.0
1097,1326.0,734,726.0
1098,1327.0,846,727.0
1099,1328.0,1200,728.0
1100,1329.0,1068,729.0
1101,1330.0,1252,730.0
1102,1331.0,1200,731.0
1103,1332.0,777,732.0
1104,1333.0,1157,733.0
1105,1334.0,984,734.0
1106,1335.0,1468,735.0
1107,1336.0,1393,736.0
1108,1337.0,1104,737.0
1109,1338.0,1009,738.0
1110,1339.0,930,739.0
1111,1340.0,1132,740.0
1112,1341.0,746,741.0
1113,1342.0,719,742.0
1114,1343.0,930,743.0
1115,1344.0,1460,744.0
1116,1345.0,421,745.0
1117,1346.0,1034,746.0
1118,1347.0,421,747.0
1119,1348.0,329,748.0
1120,1349.0,527,749.0
1121,1350.0,975,750.0
1122,1351.0,905,751.0
1123,1352.0,593,752.0
1124,1353.0,872,753.0
1125,1354.0,1192,754.0
1126,1355.0,1331,755.0
1127,1356.0,752,756.0
1128,1357.0,1069,757.0
1129,1358.0,1255,758.0
1130,1359.0,1039,759.0
1131,1360.0,1070,760.0
1132,1361.0,1460,761.0
1133,1362.0,1981,762.0
1134,1363.0,1784,763.0
1135,1364.0,2117,764.0
1136,1365.0,1227,765.0
1137,1366.0,557,766.0
1138,1367.0,710,767.0
1139,1368.0,1411,768.0
1140,1369.0,513,769.0
1141,1370.0,772,770.0
1142,1371.0,597,771.0
1143,1372.0,662,772.0
1144,1373.0,623,773.0
1145,1374.0,955,774.0
1146,1375.0,906,775.0
1147,1376.0,789,776.0
1148,1377.0,1511,777.0
1149,1378.0,1917,778.0
1150,1379.0,1567,779.0
1151,1380.0,1227,780.0
1152,1381.0,1152,781.0
1153,1382.0,1198,782.0
1154,1383.0,1208,783.0
1155,1384.0,1353,784.0
1156,1385.0,1904,785.0
1157,1386.0,1368,786.0
1158,1387.0,1341,787.0
1159,1388.0,1807,788.0
1160,1389.0,1224,789.0
1161,1390.0,1236,790.0
1162,1391.0,1741,791.0
1163,1392.0,1911,792.0
1164,1393.0,1170,793.0
1165,1394.0,824,794.0
1166,1395.0,548,795.0
1167,1396.0,674,796.0
1168,1397.0,843,797.0
1169,1398.0,818,798.0
1170,1399.0,982,799.0
1171,1400.0,909,800.0
1172,1401.0,2264,801.0
1173,1402.0,1767,802.0
1174,1403.0,1436,803.0
1175,1404.0,413,804.0
1176,1405.0,474,805.0
1177,1406.0,925,806.0
1178,1407.0,1870,807.0
1179,1408.0,1314,808.0
1180,1409.0,1358,809.0
1181,1410.0,1156,810.0
1182,1411.0,1041,811.0
1183,1412.0,785,812.0
1184,1413.0,516,813.0
1185,1414.0,422,814.0
1186,1415.0,544,815.0
1187,1416.0,1360,816.0
1188,1417.0,558,817.0
1189,1418.0,807,818.0
1190,1419.0,606,819.0
1191,1420.0,511,820.0
1192,1421.0,730,821.0
1193,1422.0,714,822.0
1194,1423.0,595,823.0
1195,1424.0,963,824.0
1196,1425.0,711,825.0
1197,1426.0,884,826.0
1198,1427.0,609,827.0
1199,1428.0,395,828.0
1200,1429.0,352,829.0
1201,1430.0,685,830.0
1202,1431.0,858,831.0
1203,1432.0,475,832.0
1204,1433.0,411,833.0
1205,1434.0,412,834.0
1206,1435.0,304,835.0
1207,1436.0,347,836.0
1208,1437.0,332,837.0
1209,1438.0,428,838.0
1210,1439.0,350,839.0
1211,1440.0,1375,840.0
1212,1441.0,579,841.0
1213,1442.0,682,842.0
1214,1443.0,700,843.0
1215,1444.0,423,844.0
1216,1445.0,758,845.0
1217,1446.0,619,846.0
1218,1447.0,639,847.0
1219,1448.0,513,848.0
1220,1449.0,692,849.0
1221,1450.0,752,850.0
1222,1451.0,605,851.0
1223,1452.0,630,852.0
1224,1453.0,927,853.0
1225,1454.0,816,854.0
1226,1455.0,626,855.0
1227,1456.0,480,856.0
1228,1457.0,456,857.0
1229,1458.0,487,858.0
1230,1459.0,571,859.0
1231,1460.0,591,860.0
1232,1461.0,769,861.0
1233,1462.0,491,862.0
1234,1463.0,429,863.0
1235,1464.0,1252,864.0
1236,1465.0,532,865.0
1237,1466.0,850,866.0
1238,1467.0,631,867.0
1239,1468.0,539,868.0
1240,1469.0,463,869.0
1241,1470.0,1041,870.0
1242,1471.0,701,871.0
1243,1472.0,598,872.0
1244,1473.0,1013,873.0
1245,1474.0,1351,874.0
1246,1475.0,1160,875.0
1247,1476.0,1344,876.0
1248,1477.0,856,877.0
1249,1478.0,1453,878.0
1250,1479.0,1044,879.0
1251,1480.0,1379,880.0
1252,1481.0,1419,881.0
1253,1482.0,840,882.0
1254,1483.0,1118,883.0
1255,1484.0,1078,884.0
1256,1485.0,822,885.0
1257,1486.0,577,886.0
1258,1487.0,607,887.0
1259,1488.0,1543,888.0
1260,1489.0,698,889.0
1261,1490.0,905,890.0
1262,1491.0,826,891.0
1263,1492.0,576,892.0
1264,1493.0,634,893.0
1265,1494.0,1113,894.0
1266,1495.0,948,895.0
1267,1496.0,630,896.0
1268,1497.0,790,897.0
1269,1498.0,1321,898.0
1270,1499.0,1167,899.0
1271,1500.0,863,900.0
1272,1501.0,1065,901.0
